local_id,Date,Seasons,Subset,Functioning Day
1,2017-12-01,1,train,1
2,2017-12-01,1,train,1
3,2017-12-01,1,train,1
4,2017-12-01,1,train,1
5,2017-12-01,1,train,1
6,2017-12-01,1,train,1
7,2017-12-01,1,train,1
8,2017-12-01,1,train,1
9,2017-12-01,1,train,1
10,2017-12-01,1,train,1
11,2017-12-01,1,train,1
12,2017-12-01,1,train,1
13,2017-12-01,1,train,1
14,2017-12-01,1,train,1
15,2017-12-01,1,train,1
16,2017-12-01,1,train,1
17,2017-12-01,1,train,1
18,2017-12-01,1,train,1
19,2017-12-01,1,train,1
20,2017-12-01,1,train,1
21,2017-12-01,1,train,1
22,2017-12-01,1,train,1
23,2017-12-01,1,train,1
24,2017-12-01,1,train,1
25,2017-12-02,1,train,1
26,2017-12-02,1,train,1
27,2017-12-02,1,train,1
28,2017-12-02,1,train,1
29,2017-12-02,1,train,1
30,2017-12-02,1,train,1
31,2017-12-02,1,train,1
32,2017-12-02,1,train,1
33,2017-12-02,1,train,1
34,2017-12-02,1,train,1
35,2017-12-02,1,train,1
36,2017-12-02,1,train,1
37,2017-12-02,1,train,1
38,2017-12-02,1,train,1
39,2017-12-02,1,train,1
40,2017-12-02,1,train,1
41,2017-12-02,1,train,1
42,2017-12-02,1,train,1
43,2017-12-02,1,train,1
44,2017-12-02,1,train,1
45,2017-12-02,1,train,1
46,2017-12-02,1,train,1
47,2017-12-02,1,train,1
48,2017-12-02,1,train,1
49,2017-12-03,1,train,1
50,2017-12-03,1,train,1
51,2017-12-03,1,train,1
52,2017-12-03,1,train,1
53,2017-12-03,1,train,1
54,2017-12-03,1,train,1
55,2017-12-03,1,train,1
56,2017-12-03,1,train,1
57,2017-12-03,1,train,1
58,2017-12-03,1,train,1
59,2017-12-03,1,train,1
60,2017-12-03,1,train,1
61,2017-12-03,1,train,1
62,2017-12-03,1,train,1
63,2017-12-03,1,train,1
64,2017-12-03,1,train,1
65,2017-12-03,1,train,1
66,2017-12-03,1,train,1
67,2017-12-03,1,train,1
68,2017-12-03,1,train,1
69,2017-12-03,1,train,1
70,2017-12-03,1,train,1
71,2017-12-03,1,train,1
72,2017-12-03,1,train,1
73,2017-12-04,1,train,1
74,2017-12-04,1,train,1
75,2017-12-04,1,train,1
76,2017-12-04,1,train,1
77,2017-12-04,1,train,1
78,2017-12-04,1,train,1
79,2017-12-04,1,train,1
80,2017-12-04,1,train,1
81,2017-12-04,1,train,1
82,2017-12-04,1,train,1
83,2017-12-04,1,train,1
84,2017-12-04,1,train,1
85,2017-12-04,1,train,1
86,2017-12-04,1,train,1
87,2017-12-04,1,train,1
88,2017-12-04,1,train,1
89,2017-12-04,1,train,1
90,2017-12-04,1,train,1
91,2017-12-04,1,train,1
92,2017-12-04,1,train,1
93,2017-12-04,1,train,1
94,2017-12-04,1,train,1
95,2017-12-04,1,train,1
96,2017-12-04,1,train,1
97,2017-12-05,1,train,1
98,2017-12-05,1,train,1
99,2017-12-05,1,train,1
100,2017-12-05,1,train,1
101,2017-12-05,1,train,1
102,2017-12-05,1,train,1
103,2017-12-05,1,train,1
104,2017-12-05,1,train,1
105,2017-12-05,1,train,1
106,2017-12-05,1,train,1
107,2017-12-05,1,train,1
108,2017-12-05,1,train,1
109,2017-12-05,1,train,1
110,2017-12-05,1,train,1
111,2017-12-05,1,train,1
112,2017-12-05,1,train,1
113,2017-12-05,1,train,1
114,2017-12-05,1,train,1
115,2017-12-05,1,train,1
116,2017-12-05,1,train,1
117,2017-12-05,1,train,1
118,2017-12-05,1,train,1
119,2017-12-05,1,train,1
120,2017-12-05,1,train,1
121,2017-12-06,1,train,1
122,2017-12-06,1,train,1
123,2017-12-06,1,train,1
124,2017-12-06,1,train,1
125,2017-12-06,1,train,1
126,2017-12-06,1,train,1
127,2017-12-06,1,train,1
128,2017-12-06,1,train,1
129,2017-12-06,1,train,1
130,2017-12-06,1,train,1
131,2017-12-06,1,train,1
132,2017-12-06,1,train,1
133,2017-12-06,1,train,1
134,2017-12-06,1,train,1
135,2017-12-06,1,train,1
136,2017-12-06,1,train,1
137,2017-12-06,1,train,1
138,2017-12-06,1,train,1
139,2017-12-06,1,train,1
140,2017-12-06,1,train,1
141,2017-12-06,1,train,1
142,2017-12-06,1,train,1
143,2017-12-06,1,train,1
144,2017-12-06,1,train,1
145,2017-12-07,1,train,1
146,2017-12-07,1,train,1
147,2017-12-07,1,train,1
148,2017-12-07,1,train,1
149,2017-12-07,1,train,1
150,2017-12-07,1,train,1
151,2017-12-07,1,train,1
152,2017-12-07,1,train,1
153,2017-12-07,1,train,1
154,2017-12-07,1,train,1
155,2017-12-07,1,train,1
156,2017-12-07,1,train,1
157,2017-12-07,1,train,1
158,2017-12-07,1,train,1
159,2017-12-07,1,train,1
160,2017-12-07,1,train,1
161,2017-12-07,1,train,1
162,2017-12-07,1,train,1
163,2017-12-07,1,train,1
164,2017-12-07,1,train,1
165,2017-12-07,1,train,1
166,2017-12-07,1,train,1
167,2017-12-07,1,train,1
168,2017-12-07,1,train,1
169,2017-12-08,1,train,1
170,2017-12-08,1,train,1
171,2017-12-08,1,train,1
172,2017-12-08,1,train,1
173,2017-12-08,1,train,1
174,2017-12-08,1,train,1
175,2017-12-08,1,train,1
176,2017-12-08,1,train,1
177,2017-12-08,1,train,1
